product_id,product_name,category_id,category_name,price,brand,product_status
P000001,悦活家居日用旗舰款,C04,家居日用,141,拾光,active
P000002,臻选服饰便携装,C03,服饰,332,优选,active
P000003,云感生鲜升级版,C09,生鲜,73,优选,active
P000004,原野旅行用品日常款,C10,旅行用品,271,拾光,active
P000005,轻盈数码配件套装,C05,数码配件,256,优选,active
P000006,轻氧母婴用品旗舰款,C06,母婴用品,161,山川,active
P000007,悦活服饰便携装,C03,服饰,344,山川,active
P000008,臻选美妆个护升级版,C01,美妆个护,69,清欢,active
P000009,云感数码配件日常款,C05,数码配件,295,小满,active
P000010,原野旅行用品套装,C10,旅行用品,302,清欢,active
P000011,轻盈旅行用品旗舰款,C10,旅行用品,224,森屿,active
P000012,轻氧母婴用品便携装,C06,母婴用品,128,优选,active
P000013,悦活食品饮料升级版,C02,食品饮料,91,优选,active
P000014,臻选食品饮料日常款,C02,食品饮料,60,森屿,active
P000015,云感母婴用品套装,C06,母婴用品,128,小满,active
P000016,原野运动户外旗舰款,C07,运动户外,164,云野,active
P000017,轻盈食品饮料便携装,C02,食品饮料,71,拾光,active
P000018,轻氧生鲜升级版,C09,生鲜,81,拾光,active
P000019,悦活家居日用日常款,C04,家居日用,71,森屿,active
P000020,臻选数码配件套装,C05,数码配件,252,森屿,active
P000021,云感宠物用品旗舰款,C08,宠物用品,160,山川,active
P000022,原野母婴用品便携装,C06,母婴用品,190,清欢,active
P000023,轻盈食品饮料升级版,C02,食品饮料,79,拾光,active
P000024,轻氧食品饮料日常款,C02,食品饮料,55,小满,active
P000025,悦活宠物用品套装,C08,宠物用品,105,云野,active
P000026,臻选生鲜旗舰款,C09,生鲜,88,山川,active
P000027,云感宠物用品便携装,C08,宠物用品,96,拾光,active
P000028,原野数码配件升级版,C05,数码配件,158,山川,active
P000029,轻盈食品饮料日常款,C02,食品饮料,91,森屿,active
P000030,轻氧家居日用套装,C04,家居日用,106,小满,active
P000031,悦活运动户外旗舰款,C07,运动户外,98,山川,active
P000032,臻选生鲜便携装,C09,生鲜,71,拾光,active
P000033,云感美妆个护升级版,C01,美妆个护,88,小满,active
P000034,原野生鲜日常款,C09,生鲜,71,山川,active
P000035,轻盈家居日用套装,C04,家居日用,116,清欢,active
P000036,轻氧食品饮料旗舰款,C02,食品饮料,73,山川,active
P000037,悦活运动户外便携装,C07,运动户外,152,清欢,active
P000038,臻选母婴用品升级版,C06,母婴用品,188,优选,active
P000039,云感生鲜日常款,C09,生鲜,109,优选,active
P000040,原野数码配件套装,C05,数码配件,162,优选,active
P000041,轻盈家居日用旗舰款,C04,家居日用,166,山川,active
P000042,轻氧美妆个护便携装,C01,美妆个护,69,拾光,active
P000043,悦活服饰升级版,C03,服饰,237,小满,active
